재료명,원문표기,소스수,허브등장수,CHP_ID,중문명,영문명,매핑방식,검토필요,검토사유,방제등장수,성(원문),성(한자),성(수치),성(평균수치),미(원문),미(한자),미(개수),귀경(원문),귀경(한자),귀경(개수),성미귀경_완전,방제사용,출처파일,excluded,exclusion_reason
커민,커민|커민씨드,5,12,CHP05607,孜然,Cuminum cyminum,한자사전,N,,0,Warm,溫,1,1.0,Pungent,辛,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
밀가루,밀가루,1,10,CHP04697,小麦,Wheat,한자사전,N,,12,Cool,涼,-1,-1.0,Sweet,甘,1,Spleen|Kidney|Heart,脾|腎|心,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
아몬드,아몬드,4,10,CHP04065,桃仁,Prunus dulcis,한자사전,Y,桃仁=Prunus dulcis로 기재됐으나 통상 桃仁은 복숭아씨(P. persica) — D6 학명 의심,264,Neutral,平,0,0.0,Sweet|Bitter,甘|苦,2,Large intestine|Liver|Heart,大腸|肝|心,3,Y,Y,D7_CHP_Medicinal_properties.tsv,Y,桃仁 = 복숭아씨. D6 학명(Prunus dulcis) 오류 의심
참기름,참기름,4,10,CHP05104,野芝麻,Sesame,한자사전,N,,49,Neutral,平,0,0.0,Sweet|Pungent,甘|辛,2,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
파슬리,파슬리,4,10,CHP06209,欧芹菜籽,Petroselinum crispum,한자사전,Y,"欧芹菜籽=파슬리 씨앗 — 잎이 아님, D7 성미 없음",0,,,,,,,0,,,0,N,N,D7_CHP_Medicinal_properties.tsv,Y,欧芹菜籽 = 파슬리 씨앗. 잎 아님
오레가노,오레가노,2,10,CHP03028,牛至,Origanum vulgare,한자사전,N,,6,Cool,涼,-1,-1.0,Pungent|Bitter,辛|苦,2,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
회향,회향|회향씨|회향씨(펜넬씨드),4,10,CHP01757,茴香,Pimpinella anisum,한자사전,N,,128,Warm,溫,1,1.0,Pungent,辛,1,Stomach|Liver|Kidney|Bladder,胃|肝|腎|膀胱,4,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
차,차,2,9,CHP00333,茶叶,Tea Plant,한자사전,N,,34,Cold,寒,-2,-2.0,Sweet|Bitter,甘|苦,2,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
강황,강황,4,9,CHP01864,姜黄,Curcuma longa,한자사전,N,,101,Cold,寒,-2,-2.0,Pungent|Bitter,辛|苦,2,Liver|Heart|Gallbladder,肝|心|膽,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
버섯,버섯,4,9,CHP06117,蘑菇,Agaricus bisporus,한자사전,N,,1,Neutral,平,0,0.0,Sweet,甘,1,Large intestine|Stomach|Lung,大腸|胃|肺,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
계란,계란,1,8,CHP05886,鸡子,Chicken Egg,한자사전,Y,"鸡子=Chicken Egg 정확, 방제 0회",0,Neutral,平,0,0.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
건포도,sultana|건포도,4,8,CHP03130,葡萄,Vitis vinifera,한자사전,N,,14,Neutral,平,0,0.0,Sweet|Sour,甘|酸,2,Spleen|Lung|Kidney,脾|肺|腎,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
바나나,banana|바나나,5,8,CHP04568,香蕉,Musa acuminata,한자사전,N,,0,Cold,寒,-2,-2.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
코코넛,코코넛,4,8,CHP05007,椰子,Coconut,한자사전,N,,0,Neutral,平,0,0.0,Sweet|Pungent,甘|辛,2,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
살구,살구,2,7,CHP04798,杏子,Apricot,한자사전,N,,0,Warm,溫,1,1.0,Sweet|Sour,甘|酸,2,Lung|Heart,肺|心,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
딸기,딸기,4,7,CHP00319,草莓,Fragaria x ananassa,한자사전,N,,3,Cool,涼,-1,-1.0,Sweet|Sour,甘|酸,2,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
양고기,양고기,3,7,CHP06052,羊脬,Ovis aries,한자사전,Y,羊脬=Ovis aries(양 방광) — 고기가 아님,0,Warm,溫,1,1.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,Y,羊脬 = 양 방광. 고기 아님
표고버섯,표고버섯,4,6,CHP06131,香菇,Lentinula edodes,한자사전,N,,9,Neutral,平,0,0.0,Sweet,甘,1,Stomach|Liver,胃|肝,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
쌀,쌀,2,6,CHP01988,粳米,Rice,한자사전,N,,3,Neutral,平,0,0.0,Sweet,甘,1,Stomach|Spleen|Lung,胃|脾|肺,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
망고,망고,3,6,CHP02638,芒果,Mangifera indica Fruit,한자사전,N,,0,Cold,寒,-2,-2.0,Sweet|Sour,甘|酸,2,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
구아바,구아바,1,6,CHP00990,番石榴,Guava,한자사전,N,,0,Neutral,平,0,0.0,Sweet|Astringent,甘|澀,2,Large intestine,大腸,1,Y,N,D7_CHP_Medicinal_properties.tsv,N,
메이플시럽,메이플시럽,3,6,CHP04407,五龙皮,Maple Bark,한자사전,Y,五龙皮=Maple Bark(단풍나무 껍질) — 시럽이 아니라 수피. 성미 참고용,0,Warm,溫,1,1.0,Pungent,辛,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,Y,五龙皮 = 단풍나무 수피. 시럽 아님
고구마,고구마,3,6,CHP01126,甘薯,Dioscorea esculenta,한자사전,N,,0,Neutral,平,0,0.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
감자,감자,4,5,CHP02583,马铃薯,Solanum tuberosum,한자사전,N,,0,Neutral,平,0,0.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
된장,miso|미소된장,4,5,CHP00630,淡豆豉,Soybean,한자사전,N,,54,Cool,涼,-1,-1.0,Pungent|Bitter,辛|苦,2,Stomach|Lung,胃|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
만다린오렌지,만다린 오렌지,1,5,CHP02035,橘子,Mandarin Orange,한자사전,Y,橘子 — 오렌지(甜橙)와 구분 필요,0,Neutral,平,0,0.0,Sweet|Sour,甘|酸,2,Stomach|Lung,胃|肺,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
녹차,녹차,2,5,CHP00333,茶叶,Tea Plant,한자사전,N,,34,Cold,寒,-2,-2.0,Sweet|Bitter,甘|苦,2,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
구기자,구기자,2,5,CHP01236,枸杞子,Goji Berry Seed,한자사전,N,,664,Neutral,平,0,0.0,Sweet,甘,1,Lung|Liver|Kidney,肺|肝|腎,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
깨,참깨|참깨(참기름·깨)|흑임자,2,5,CHP05104,野芝麻,Sesame,한자사전,N,,49,Neutral,平,0,0.0,Sweet|Pungent,甘|辛,2,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
소금,소금,1,4,CHP06193,食盐,Sal,한자사전,N,,7,Cold,寒,-2,-2.0,Salty,鹹,1,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
무,무,3,4,CHP02178,莱菔,Radish,한자사전,N,,0,Cool|Neutral,涼|平,-1|0,-0.5,Pungent|Sweet,辛|甘,2,Large intestine|Lung|Spleen|Stomach,大腸|肺|脾|胃,4,Y,N,D7_CHP_Medicinal_properties.tsv,N,
카이엔페퍼,카이엔페퍼,2,4,CHP02172,辣椒,Capsicum annuum,한자사전,N,,31,Hot,熱,2,2.0,Pungent,辛,1,Stomach|Spleen,胃|脾,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
오이,오이,4,4,CHP01644,黄瓜,Cucumber,한자사전,N,,0,Cool,涼,-1,-1.0,Sweet,甘,1,Stomach|Spleen|Lung,胃|脾|肺,3,Y,N,D7_CHP_Medicinal_properties.tsv,N,
레몬그라스,레몬그라스,3,4,CHP04571,香茅,Cymbopogon citratus,한자사전,N,,6,Warm,溫,1,1.0,Pungent,辛,1,Stomach|Lung|Bladder,胃|肺|膀胱,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
아보카도,아보카도,2,4,CHP05403,樟梨,Persea americana,한자사전,Y,"樟梨=Persea americana 학명 일치, 방제 0회",0,Neutral,平,0,0.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
귀리,귀리,2,4,CHP04951,燕麦,Avena sativa,한자사전,N,,0,Neutral,平,0,0.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
아티초크,아티초크,2,4,CHP00294,菜蓟,Cynara cardunculus,한자사전,N,,0,Neutral,平,0,0.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
계화,계화,2,4,CHP01316,桂花,Sweet Osmanthus,한자사전,N,,0,Warm,溫,1,1.0,Pungent,辛,1,Spleen|Lung|Kidney,脾|肺|腎,3,Y,N,D7_CHP_Medicinal_properties.tsv,N,
대추,대추|홍대추,2,4,CHP00608,大枣,Jujube,한자사전,N,,325,Warm,溫,1,1.0,Sweet,甘,1,Stomach|Spleen|Heart,胃|脾|心,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
커피,커피,3,4,CHP02062,咖啡,Coffea arabica,한자사전,N,,0,Neutral,平,0,0.0,Bitter|Astringent,苦|澀,2,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
시금치,시금치,2,4,CHP00281,菠菜,Spinacia oleracea,한자사전,N,,0,Neutral,平,0,0.0,Sweet,甘,1,Small intestine|Large intestine|Stomach|Liver,小腸|大腸|胃|肝,4,Y,N,D7_CHP_Medicinal_properties.tsv,N,
연근,연근,3,3,CHP03057,藕蔤,Sacred Lotus,한자사전,N,,2,Neutral,平,0,0.0,Sweet,甘,1,Heart,心,1,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
두부,tofu|두부,2,3,CHP00838,豆腐,Soybean,한자사전,N,,0,Cool,涼,-1,-1.0,Sweet,甘,1,Large intestine|Spleen|Stomach,大腸|脾|胃,3,Y,N,D7_CHP_Medicinal_properties.tsv,N,
파파야,파파야,1,3,CHP00987,番木瓜,Carica papaya,한자사전,N,,0,Neutral,平,0,0.0,Sweet,甘,1,Spleen|Liver,脾|肝,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
무화과,무화과,1,3,CHP04368,无花果,Ficus carica,한자사전,N,,1,Cool,涼,-1,-1.0,Sweet,甘,1,Large intestine|Stomach|Lung,大腸|胃|肺,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
포도,포도,1,3,CHP03130,葡萄,Vitis vinifera,한자사전,N,,14,Neutral,平,0,0.0,Sweet|Sour,甘|酸,2,Spleen|Lung|Kidney,脾|肺|腎,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
호박,호박,2,3,CHP02925,南瓜,Pumpkin,한자사전,N,,1,Neutral,平,0,0.0,Sweet,甘,1,Stomach|Spleen|Lung,胃|脾|肺,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
수박,수박,3,3,CHP04449,西瓜,Watermelon,한자사전,N,,3,Cold,寒,-2,-2.0,Sweet,甘,1,Stomach|Heart|Bladder,胃|心|膀胱,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
감초,감초,2,3,CHP01118,甘草,Licorice Root,한자사전,N,,2278,Neutral,平,0,0.0,Sweet,甘,1,Stomach|Spleen|Lung|Heart,胃|脾|肺|心,4,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
피스타치오,피스타치오,1,3,CHP04382,无名子,Pistacia vera,한자사전,N,,1,Warm,溫,1,1.0,Pungent|Astringent,辛|澀,2,Spleen|Kidney,脾|腎,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
찹쌀,찹쌀,2,2,CHP03039,糯米,Rice,한자사전,N,,10,Warm,溫,1,1.0,Sweet,甘,1,Lung|Spleen|Stomach,肺|脾|胃,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
보리,보리,1,2,CHP00534,大麦,Barley,한자사전,N,,2,Cool,涼,-1,-1.0,Sweet,甘,1,Spleen|Kidney,脾|腎,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
메밀,메밀,1,2,CHP03213,荞麦,Fagopyrum esculentum,한자사전,N,,0,Cold,寒,-2,-2.0,Sweet|Sour,甘|酸,2,Large intestine|Stomach|Spleen,大腸|胃|脾,3,Y,N,D7_CHP_Medicinal_properties.tsv,N,
용안육,용안육,2,2,CHP02427,龙眼肉,Longan,한자사전,N,,62,Warm,溫,1,1.0,Sweet,甘,1,Spleen|Heart,脾|心,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
홍차,홍차,2,2,CHP00333,茶叶,Tea Plant,한자사전,N,,34,Cold,寒,-2,-2.0,Sweet|Bitter,甘|苦,2,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
인삼,인삼,2,2,CHP03319,人参,Ginseng Root,한자사전,N,,754,Warm,溫,1,1.0,Sweet|Bitter,甘|苦,2,Spleen|Lung|Heart,脾|肺|心,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
연자육,연자육,2,2,CHP02312,莲子,Sacred Lotus,한자사전,N,,81,Neutral,平,0,0.0,Sweet|Astringent,甘|澀,2,Spleen|Kidney|Heart,脾|腎|心,3,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
주니퍼베리,주니퍼베리,2,2,CHP00441,刺柏,Juniperus formosana,한자사전,Y,刺柏=Juniperus formosana(대만종) — J. communis 아님,8,Cold,寒,-2,-2.0,Bitter,苦,1,Liver,肝,1,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
루바브,루바브,2,2,CHP00513,大黄,Rhubarb Rhizome,한자사전,N,,752,Cold,寒,-2,-2.0,Bitter,苦,1,Large intestine|Stomach|Spleen|Pericardium|Liver|Heart,大腸|胃|脾|心包|肝|心,6,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
오리고기,오리고기,2,2,CHP06341,鸭肉,Anas platyrhynchos Meat,한자사전,N,,0,,,,,,,0,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
완두콩,완두콩,2,2,CHP04276,豌豆,Pisum sativum,한자사전,N,,0,Neutral,平,0,0.0,Sweet,甘,1,Stomach|Spleen,胃|脾,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
복숭아,복숭아,2,2,CHP04070,桃子,Peach,한자사전,N,,0,Warm,溫,1,1.0,Sweet|Sour,甘|酸,2,Large intestine|Lung,大腸|肺,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
호로파,호로파,2,2,CHP01516,胡芦巴,Trigonella foenum-graecum,한자사전,N,,37,Warm,溫,1,1.0,Bitter,苦,1,Kidney,腎,1,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
겨자씨,겨자씨,2,2,CHP01898,芥子,Mustard Seed,한자사전,N,,21,Hot,熱,2,2.0,Pungent,辛,1,Stomach|Lung,胃|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
국화,국화,2,2,CHP02019,菊花,Florist's Chrysanthemum,한자사전,N,,208,Cold,寒,-2,-2.0,Sweet|Pungent|Bitter,甘|辛|苦,3,Lung|Liver,肺|肝,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
생선,생선|생선(연어),2,2,CHP06059,鱼鳔,Fish Maw,한자사전,Y,鱼鳔=Fish Maw(부레) — 생선 일반이 아님,7,Neutral,平,0,0.0,Sweet,甘,1,Liver|Kidney,肝|腎,2,Y,Y,D7_CHP_Medicinal_properties.tsv,Y,鱼鳔 = 부레. 생선 일반 아님
아스파라거스,아스파라거스,1,2,CHP02441,芦根,Reed Rhizome,한자사전,N,,87,Cold,寒,-2,-2.0,Sweet,甘,1,Stomach|Lung,胃|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
석류,석류,2,2,CHP04002,酸石榴,Pomegranate,한자사전,N,,66,Warm,溫,1,1.0,Sour,酸,1,Large intestine|Stomach,大腸|胃,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
비트,비트,1,1,CHP04113,甜菜,Beta vulgaris,한자사전,Y,"甜菜=Beta vulgaris 학명 일치, 방제 0회",0,Cool,涼,-1,-1.0,Sweet,甘,1,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
양배추,양배추,1,1,CHP01897,芥蓝,Brassica oleracea,한자사전,N,,0,Cool,涼,-1,-1.0,Sweet|Pungent,甘|辛,2,Lung,肺,1,Y,N,D7_CHP_Medicinal_properties.tsv,N,
토란,taro root,1,1,CHP05295,芋头,Colocasia esculenta,한자사전,N,,1,Neutral,平,0,0.0,Pungent,辛,1,,,0,N,Y,D7_CHP_Medicinal_properties.tsv,N,
우엉,우엉,1,1,CHP02983,牛蒡根,Arctium lappa Root,한자사전,N,,0,Cool,涼,-1,-1.0,Sweet|Bitter,甘|苦,2,Lung|Heart,肺|心,2,Y,N,D7_CHP_Medicinal_properties.tsv,N,
멜론,멜론,1,1,CHP04119,甜瓜蒂,Melon,한자사전,Y,甜瓜蒂=Melon(꼭지) — 과육이 아니라 꼭지,2,Cold,寒,-2,-2.0,Bitter,苦,1,Stomach|Spleen|Liver,胃|脾|肝,3,Y,Y,D7_CHP_Medicinal_properties.tsv,Y,甜瓜蒂 = 참외 꼭지(최토약). 과육 아님
레몬밤,레몬밤,1,1,CHP06220,蜜蜂花,Melissa officinalis,한자사전,Y,"蜜蜂花=Melissa officinalis 정확, D7 성미 없음",0,,,,,,,0,,,0,N,N,D7_CHP_Medicinal_properties.tsv,N,
황기,황기,1,1,CHP01717,黄芪,Astragalus Root,한자사전,N,,1306,Warm,溫,1,1.0,Sweet,甘,1,Spleen|Lung,脾|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
녹두,녹두,1,1,CHP02528,绿豆,Mung Bean,한자사전,N,,14,Cold,寒,-2,-2.0,Sweet,甘,1,Stomach|Heart,胃|心,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
캐슈넛,캐슈넛,1,1,CHP00832,都咸,Anacardium occidentale,한자사전,Y,"都咸=Anacardium occidentale 학명 일치, 방제 0회",0,Neutral,平,0,0.0,Sweet,甘,1,Lung,肺,1,Y,N,D7_CHP_Medicinal_properties.tsv,N,
진피,진피(말린 귤껍질),1,1,CHP00361,陈皮,Tangerine Peel,한자사전,N,,902,Warm,溫,1,1.0,Pungent|Bitter,辛|苦,2,Spleen|Lung,脾|肺,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
갈랑갈,갈랑갈,1,1,CHP01161,高良姜,Alpinia officinarum,한자사전,N,,96,Hot,熱,2,2.0,Pungent,辛,1,Stomach|Spleen,胃|脾,2,Y,Y,D7_CHP_Medicinal_properties.tsv,N,
